popularity,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,Key_0,Key_1,Key_2,Key_3,Key_4,Key_5,Key_6,Key_7,Key_8,Key_9,Key_10,Key_11,liveness,loudness,mode,speechiness,tempo,valence,count
0,0.995,0.28,95295,0.219,0,0.00186,0,0,0,0,1,0,0,0,0,0,0,0,0.362,-14.456,1,0.0378,87.398,0.559,2
57,0.835,0.348,236000,0.263,0,0.654,1,0,0,0,0,0,0,0,0,0,0,0,0.129,-8.531,1,0.0516,74.517,0.12,2
65,0.302,0.703,265107,0.7,0,0.471,0,0,0,0,0,1,0,0,0,0,0,0,0.0718,-6.789,1,0.0693,97.675,0.582,110
27,0.556,0.798,245173,0.32,0,0.000115,0,0,0,0,0,0,0,0,0,1,0,0,0.0484,-16.658,1,0.054,119.455,0.449,82
8,0.75,0.432,157067,0.463,0,0.122,0,0,0,0,0,0,0,0,1,0,0,0,0.0486,-10.348,1,0.0407,76.033,0.537,131
16,0.253,0.427,312240,0.933,0,0.0379,0,0,0,0,0,0,0,0,1,0,0,0,0.298,-5.371,1,0.057,94.009,0.227,240
10,0.944,0.262,174480,0.204,0,0.00851,0,0,0,0,0,0,0,0,1,0,0,0,0.338,-14.231,1,0.0327,106.286,0.106,126
44,0.508,0.822,216373,0.304,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.237,-12.045,1,0.0974,109.603,0.92,269
25,0.474,0.526,185467,0.358,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.113,-14.79,1,0.0626,166.981,0.567,145
26,0.0991,0.418,211933,0.832,0,0.0158,0,0,0,0,0,0,0,0,0,1,0,0,0.67,-10.023,1,0.0519,155.636,0.685,82
31,0.99,0.435,298893,0.131,0,0.000967,0,0,0,1,0,0,0,0,0,0,0,0,0.131,-17.341,1,0.0517,112.01,0.306,1007
41,2.23E-05,0.355,183907,0.991,0,9.54E-05,0,0,1,0,0,0,0,0,0,0,0,0,0.122,-3.055,1,0.162,131.478,0.273,80
43,0.145,0.7,120867,0.899,0,1.34E-06,0,0,0,0,0,0,0,0,0,0,0,1,0.475,-6.643,0,0.0785,145.804,0.903,28
1,0.0515,0.42,163480,0.987,0,3.76E-05,0,0,0,0,0,0,0,0,0,0,1,0,0.162,-3.564,1,0.043,96.86,0.594,4
1,0.989,0.651,148422,0.0118,0,0.918,1,0,0,0,0,0,0,0,0,0,0,0,0.126,-20.89,1,0.182,77.383,0.0368,12
0,0.455,0.711,129622,0.218,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.157,-24.518,1,0.943,123.386,0.383,2562
29,0.62,0.492,232267,0.309,0,0.00816,0,1,0,0,0,0,0,0,0,0,0,0,0.387,-11.655,1,0.0266,75.287,0.387,203
37,0.39,0.476,309907,0.302,0,0.000114,0,0,0,0,0,0,0,1,0,0,0,0,0.0523,-15.3,1,0.0311,121.655,0.4,252
51,0.38,0.508,242707,0.52,0,5.91E-06,0,0,1,0,0,0,0,0,0,0,0,0,0.117,-6.32,1,0.0273,138.782,0.233,432
55,0.14,0.877,248147,0.713,0,0.000274,1,0,0,0,0,0,0,0,0,0,0,0,0.0866,-10.041,1,0.0668,119.927,0.925,271
0,0.889,0.661,177733,0.287,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0899,-10.884,1,0.181,80.734,0.616,37
44,0.426,0.467,322067,0.642,0,0.000281,0,0,0,0,0,1,0,0,0,0,0,0,0.232,-7.239,1,0.0301,91.029,0.303,64
30,0.318,0.889,216627,0.3,0,0.00609,0,0,0,0,0,1,0,0,0,0,0,0,0.127,-15.012,1,0.0758,115.529,0.811,38
62,0.000213,0.405,190133,0.962,1,2.31E-06,0,0,0,0,0,0,0,0,0,0,0,1,0.108,-4.894,1,0.0842,170.023,0.489,4
33,0.417,0.635,193200,0.907,0,2.09E-05,1,0,0,0,0,0,0,0,0,0,0,0,0.0725,-7.276,0,0.0383,107.681,0.812,376
59,0.708,0.541,336013,0.809,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.72,-4.286,1,0.324,120.094,0.753,162
34,0.00415,0.835,254867,0.209,1,0.88,1,0,0,0,0,0,0,0,0,0,0,0,0.125,-14.242,1,0.472,129.827,0.0901,214
0,0.995,0.509,183480,0.0326,0,0.0969,1,0,0,0,0,0,0,0,0,0,0,0,0.162,-19.337,1,0.0907,201.29,0.545,257
11,0.933,0.38,424267,0.0491,0,0.0054,0,0,0,1,0,0,0,0,0,0,0,0,0.67,-26.623,1,0.0378,153.772,0.171,377
13,0.898,0.753,149320,0.214,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0958,-15.758,1,0.204,128,0.673,120
22,0.279,0.335,150027,0.281,0,0.000169,0,0,0,0,0,0,0,0,0,1,0,0,0.122,-12.947,0,0.0279,94.438,0.263,16
62,0.851,0.307,210907,0.289,0,0.000126,0,0,0,0,0,1,0,0,0,0,0,0,0.0798,-13.369,1,0.0281,85.948,0.145,54
49,0.0523,0.747,213667,0.478,0,0.000117,0,0,0,0,0,1,0,0,0,0,0,0,0.0624,-13.073,1,0.044,117.91,0.818,10
10,0.607,0.696,135063,0.82,0,3.59E-05,0,1,0,0,0,0,0,0,0,0,0,0,0.0892,-8.101,1,0.0452,104.792,0.969,8
0,0.836,0.593,217493,0.49,0,5.51E-05,0,0,0,0,0,1,0,0,0,0,0,0,0.102,-10.232,1,0.0274,131.92,0.809,46
0,0.000581,0.805,395050,0.663,0,0.927,0,0,0,0,0,0,0,1,0,0,0,0,0.0715,-8.338,1,0.0635,127.008,0.111,4
48,0.262,0.784,243013,0.633,1,5.82E-06,0,0,1,0,0,0,0,0,0,0,0,0,0.0743,-2.388,1,0.17,89.017,0.227,111
0,0.995,0.435,176648,0.0874,0,0.893,0,0,0,0,0,0,0,0,0,0,1,0,0.149,-17.418,1,0.0782,71.244,0.58,8
12,0.0142,0.747,144000,0.785,0,0.218,0,1,0,0,0,0,0,0,0,0,0,0,0.0404,-3.86,0,0.0369,124.998,0.565,16
76,0.194,0.598,238307,0.252,1,0.133,0,0,1,0,0,0,0,0,0,0,0,0,0.0992,-15.086,1,0.0644,120.064,0.0352,70
20,0.514,0.712,133832,0.346,0,3.57E-06,0,0,0,0,0,0,1,0,0,0,0,0,0.112,-13.023,1,0.0927,134.236,0.739,1007
0,0.989,0.365,192880,0.542,0,0.809,1,0,0,0,0,0,0,0,0,0,0,0,0.444,-8.901,1,0.0489,121.818,0.902,245
0,0.871,0.709,401080,0.223,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.147,-14.12,1,0.894,127.067,0.348,8
28,0.207,0.577,146760,0.773,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0871,-7.254,1,0.0605,128.234,0.837,4
0,0.00412,0.34,126798,0.942,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.13,-1.425,1,0.131,170.64,0.422,24
3,0.0998,0.716,161730,0.619,0,0.00723,0,0,0,1,0,0,0,0,0,0,0,0,0.0801,-10.304,1,0.0319,133.025,0.871,2
27,0.2,0.581,148813,0.673,0,0.0127,1,0,0,0,0,0,0,0,0,0,0,0,0.165,-7.847,1,0.0282,112.517,0.736,911
22,0.906,0.474,142373,0.222,0,0.00408,0,0,0,0,0,0,0,1,0,0,0,0,0.116,-12.772,1,0.0314,87.559,0.434,12
51,0.907,0.228,205467,0.125,0,0.000425,0,0,0,0,0,0,0,0,1,0,0,0,0.171,-17.576,1,0.0369,85.091,0.216,1435
44,0.0736,0.541,346987,0.863,0,0.00115,1,0,0,0,0,0,0,0,0,0,0,0,0.463,-6.999,1,0.0703,142.829,0.522,325
0,0.000169,0.807,428487,0.914,0,0.891,1,0,0,0,0,0,0,0,0,0,0,0,0.0745,-8.555,1,0.0577,125.994,0.263,2
36,0.504,0.243,138400,0.366,0,0.000304,0,0,0,0,0,0,0,0,0,1,0,0,0.0921,-10.38,1,0.0295,86.3,0.287,19
26,0.744,0.632,176693,0.346,0,0.00268,0,0,0,0,0,0,0,0,0,0,1,0,0.165,-14.925,1,0.0271,74.501,0.556,120
54,0.7,0.316,324573,0.415,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.357,-13.435,0,0.0472,185.123,0.273,134
0,0.132,0.725,100400,0.144,1,0.00222,0,1,0,0,0,0,0,0,0,0,0,0,0.061,-23.355,1,0.909,88.883,0.709,2124
64,0.192,0.341,221707,0.64,0,4.61E-05,0,0,0,0,0,1,0,0,0,0,0,0,0.268,-4.432,1,0.0378,86.006,0.351,142
63,0.409,0.85,217200,0.938,0,0.000346,0,0,0,0,0,0,0,0,0,1,0,0,0.0582,-6.889,0,0.0415,120.826,0.84,190
9,0.625,0.556,157400,0.313,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.117,-15.25,1,0.0311,112.408,0.594,100
42,0.977,0.875,202667,0.284,0,0.929,1,0,0,0,0,0,0,0,0,0,0,0,0.0889,-20.942,0,0.0559,89.509,0.934,102
0,0.996,0.527,177773,0.142,0,0.907,0,0,0,0,0,0,0,0,1,0,0,0,0.113,-20.701,0,0.0612,126.702,0.896,1248
5,0.978,0.719,77982,0.323,0,2.88E-06,0,0,1,0,0,0,0,0,0,0,0,0,0.0774,-9.256,1,0.0347,128.3,0.581,36
28,0.989,0.466,209400,0.0659,0,0.897,0,0,1,0,0,0,0,0,0,0,0,0,0.129,-22.646,1,0.035,102.43,0.117,118
28,0.0479,0.615,265267,0.841,0,0.0373,0,0,1,0,0,0,0,0,0,0,0,0,0.198,-10.351,1,0.0568,114.347,0.486,8
17,0.62,0.657,188120,0.529,0,0.154,1,0,0,0,0,0,0,0,0,0,0,0,0.182,-14.876,1,0.0329,122.684,0.75,131
